schomburgk_line_title;The Schomburgk Line;;;;;;;;;;;;;
seize_peshawar_desc;Peshawar has been a part of our nemesis, the Barakzai Emirate, since the fall of the Durrani Empire. It is regarded as the breadbasket of Afghanistan, one of the few fertile regions that are key to the Afghan food supply. It would be easy to conquer due to its relative separation from the rest of Afghanistan: The only way to get from Kabul to Peshawar is via the Khyber Pass which is blocked by snow in Winter. Thus, the defenders would easily be overwhelmed before reinforcements could arrive. It is, however, possible that an Afghan force will arrive over the pass after Peshawar is in our hands to recapture it.;;;;;;;;;;;;;
july_ordinances_title;The July Ordinances;;;;;;;;;;;;;
july_ordinances_desc;§RCauses a Revolution§! Liberalism is a scourge upon the monarchy. It must be put down through a heavy-handed approach to ruling France's subjects, lest we fail to save the French people from their naive ideas of how they wish to be governed. Chief Minister Jules Armand de Polignac, an ultraroyalist who has long been targeted by the liberals, proposes a set of royal ordinances meant to reign France in: they include limitation of press freedom, a newly appointed set of reactionary Councilors of State, the dissolution of the Chamber of Deputies, and the exclusion of the middle class from future elections.;;;;;;;;;;;;;
SEIZUREOFLENATIONAL;\n\nIn response to the July Ordinances' restrictions on press freedom, staff writers at the liberal newspaper Le National published a petition demanding restoration of their rights. Agents of the prince de Polignac then promptly raided the journal's offices. Le National originated as a liberal mouthpiece in light of de Polignac's rise to power, patronized by liberal officials such as the prince of Talleyrand and the duke of Broglie. The paper's existence proves a thorn in the state's backside. We maintain that the government acted fully in its authority.;;;;;;;;;;;;;
JULYREVOLUTION;\n\nThe Bourbon monarchy is no longer in France as of today. After the surge of reactionary behavior under Chief Minister de Polignac--who was narrowly re-elected after having been voted out in a motion of no confidence--the French people were ignited to relaunch a revolution in the spirit of the first. De Polignac foolishly attempted to singlehandedly alter France's constitution by passing the draconian July Ordinances, attempting to create a newly authoritarian monarchy. Rioting and looting has dragged on for three days, until the people finally captured the Hôtel de Ville in Paris and declared a provisional government, after wholly defeating the last of the royalists' forces. A new monarchy is expected to emerge with Louis Philippe of Orléans, a former Republican general, as king.;;;;;;;;;;;;;
LOUISPHILLIPETROLLS;\n\nFrance's new king has taken the throne: Louis Philippe of Orléans. As duke of Chartres and a former general of the Revolutionary Wars, he served with distinction but later broke with the revolutionaries after they decided to kill King Louis XVI. He later exiled himself to Switzerland in 1793 after it was discovered he was conspiring to restore the monarchy. \n\nCharles X had named Louis Philippe his lieutenant general, though he not-so-secretly held ambitions to succeed Charles as king. Already popular among the masses, the Chamber of Deputies has appointed Louis Philippe I as the first in the Orléans dynasty--hopefully marking a return to the center-right policies of Napoleon.;;;;;;;;;;;;;
ADDRESSOFTHETWOTWOONE;\n\n'Sire, it is with deep gratitude that your loyal subjects and the deputies of the departments, together around your throne, heard from your prestigious mouth the flattering testimony to the confidence that you granted them. [...] However, Sire, in the midst of the unanimous feelings of respect and affection with which your people surround you, there is manifested in people's minds a deep anxiety which disturbs the security which France had begun to enjoy, alters the sources of its prosperity, and could, if it were prolonged, become disastrous to his rest.'\nPresident of parliament Royer-Collard opened its new session with an address to Charles X approved by a 221 deputies, the liberal majority. This address demands that Chief Minister Polignac resign and that future ministers pledge to act in accordance with the wishes of Parliament.;;;;;;;;;;;;;
JUNEREBELLION;\n\nFighting has broken out between the National Guard and republican rebels, who have conspired to overthrow the July Monarchy. After the funeral of former army commander and anti-monarchist Jean Maximilien Lamarque, riots emerged as citizens sympathetic to his beliefs attempted to make their opinions against the government heard. Attacks against our forces were swift and well-organized, carried out by secret societies such as the infamous Society of the Rights of Men, whose members stockpile weapons as if building an army. Their fighters were reinforced by disaffected Parisien youth and refugees from Germany, Poland, and Italy, each of whom were being pursued by their respective governments for participating in republican activism.;;;;;;;;;;;;;
PROVINCEUNITEITALIANE;\n\nEver since the July Revolution in France, pro-unification rebellions in Italy have spread across each of the peninsula's domains--leaving us to clean up the mess. With support from the militarized secret society known as the Carboneria, Italy is on the cusp of chaos. It remains to be seen whether or not Italy is destined to be unified--and if we will have to intervene to crush that dream.;;;;;;;;;;;;;
PROVINCEUNITEITALIANEITS;\n\nEver since the July Revolution in France, pro-unification rebellions in Italy have spread across each of our peninsula's domains--leaving Austria to clean up the mess. With support from the militarized secret society known as the Carboneria, Italy is on the cusp of chaos. It remains to be seen whether or not Italy is destined to be unified--and if Austria will have a hand in that dream's crushing.;;;;;;;;;;;;;
PROVINCEUNITEITALIANEWAR;\n\nIt is baffling that it has taken this long for the Italian states to finally unite under a provisional government. Now, the time has come. Following the popular uprising in Bologna, the Italian United Provinces have been declared, comprising Parma, Modena, Romagna, Perugia and Ancona. Austrian troops will need to mobilize immediately to quell this uprising, lest Italy become more than just a geographic term and threaten Europe's power balance.;;;;;;;;;;;;;
FPROVINCEUNITEITALIANEWAR;\n\nIt is baffling that it has taken this long for the Italian states to finally unite under a provisional government. Now, the time has come. Following the popular uprising in Bologna, the Italian United Provinces have been declared, comprising Parma, Modena, Romagna, Perugia and Ancona. Austrian troops will need to mobilize immediately to quell this uprising, lest Italy become more than just a geographic term and threaten Europe's power balance. \n\nKing Louis-Philippe of France has proclaimed that any intervention to quench the revolution would be met with a French army sent to aid the Italians. We must either abandon Tuscany and the remaining Papal forces to fight the Italian United Provinces on their own or risk a potentially disastrous war with the French.;;;;;;;;;;;;;
HELPITALY1831;\n\nFollowing our promise of aid in the face of Austrian intervention, a revolution has taken place in northern Italy and Romagna, Parma, Modena, Perugia and Ancona have united into a new state called the 'Italian United Provinces'. The time has come to uphold our promise to the Italians and join them in battle against their Austrian oppressors. If we were to back down now, we would doom the revolution - and severely damage our international prestige.;;;;;;;;;;;;;
FRANCEITALY1831;\n\nWe have been approached by a number of Italian revolutionaries belonging to the Carbonari, a secret society that helped bring king Louis-Philippe to power in Paris in the July Revolution. The Carbonari's ultimate goal, however, is the unification of Italy. To their chagrin, Austria is bound to intervene militarily in any Italian uprising so as to preserve the status quo. Therefore, the Italian revolutionaries request that we guarantee that Austria does not get involved - to the point of sending our army to aid the Italians should the Austrians not heed our warning. Perhaps promising assistance would be enough to set off a revolution that would inconvenience our Austrian rivals, even if we duplicitously never intend to aid the Italians in the first place. What shall we do?;;;;;;;;;;;;;
PROVINCEUNITEITALIANEOK;\n\nIt is baffling that it has taken this long for the Italian states to finally unite under a provisional government. Now, the time has come. Following the popular uprising in Bologna, the Italian United Provinces have been declared, comprising Parma, Modena, Romagna, Perugia and Ancona. \n\nBut Austria and the states in its sphere of influence on the peninsula cannot allow this to go unchallenged. They are coming--and will destroy the new state without hesitation in the name of preserving the Concert of Europe.;;;;;;;;;;;;;
FPROVINCEUNITEITALIANEOK;\n\nIt is baffling that it has taken this long for the Italian states to finally unite under a provisional government. Now, the time has come. Following the popular uprising in Bologna, the Italian United Provinces have been declared, comprising Parma, Modena, Romagna, Perugia and Ancona. \n\nBut Austria and the states in its sphere of influence on the peninsula cannot allow this to go unchallenged. They are coming--and will destroy the new state without hesitation in the name of preserving the Concert of Europe. France, however, has intervened on the side of the revolutionaries, sending its army to fight against Austria.;;;;;;;;;;;;;
